Código;Descripción;;Linea;Imp.;Desc.;Precio Vent.;Precio May.;Precio Cost.;Stock Min;Mon.
7896061951343;PAÑUELITOS DE PAPEL KLEEMEX X 15 HOJAS;UNIDADES;23;10;0;1.500;0;1.258;2;1
7896061951619;PAÑUELOS DESECH SOFTY'S 14,8 CM X 21,5 CM. 50;UNIDADES;1;10;0;3.900;0;3.000;2;1
7896061971211;P.H FOFURA NEUTRO H.S;UNIDADES;1;10;0;6.300;0;4.800;2;1
7896061971228;PAPEL HIGIENICO FORURA;UNIDADES;1;10;0;6.370;0;4.800;2;1
7896064200905;COOKIES SANTA EDWIGES;UNIDADES;1;10;0;20.500;0;16.900;2;1
7896064202800;MINI COOKIES SANTA EDWIGES;UNIDADES;1;10;0;11.500;0;9.508;2;1
7896064203449;DI LUCCA PANETTONR FRUTOS 400 GR;UNIDADES;24;10;0;16.500;0;12.800;2;1
7896064203456;DI LUCCA PANETTONE CHOCOLATE 400 GR;UNIDADES;24;10;0;16.500;0;12.800;2;1
7896064490818;TOALLITAS HUMEDAS NATUARL BABY 50U.;UNIDADES;1;10;0;7.200;0;6.000;2;1
7896064490856;TOALLITA HUMEDA BABY;UNIDADES;1;10;0;13.000;0;9.000;2;1
7896066762616;BOMBON SURTIDOS BEL 180G;UNIDADES;1;10;0;7.500;0;5.376;2;1
7896066904061;PIOLIN;UNIDADES;31;10;0;2.000;0;1.350;2;1
7896067200148;PANASONIC D *2 UNIDADES;UNIDADES;20;10;0;26.000;0;20.583;2;1
7896067200339;PILAS GRANDE;UNIDADES;1;10;0;2.500;0;1.942;2;1
7896067200353;PANASONIC PILAS CHICAS;UNIDADES;1;10;0;1.000;0;663;2;1
7896067200551;PILA PANASONIC ALKALINE;UNIDADES;1;10;0;8.500;0;6.631;2;1
7896067202241;PANASONIC ALCALINA AA X2;UNIDADES;47;10;0;6.000;0;4.922;2;1
7896067202265;PANASONIC ALKALINA AAA;UNIDADES;20;10;0;6.500;6.300;5.187;2;1
7896067203040;PANASONIC PILA PALITO *40;UNIDADES;27;10;0;1.000;0;821;2;1
7896067203460;PANASONIC BATERIA 9V ALCALINA;UNIDADES;47;10;0;17.000;0;13.456;2;1
7896067720349;SILICONA LIQUIDA MONZA;UNIDADES;1;10;0;11.630;0;9.185;2;1
7896067720394;SHAMPOO PARA AUTO MONZA;UNIDADES;1;10;0;11.500;0;7.896;2;1
7896067720455;CERA PASTA PROTECTORA P/ AUTO PEROLA;UNIDADES;1;10;0;17.500;0;13.783;2;1
7896067720684;GUANTE P/ LAVADO MONZA;UNIDADES;1;10;0;11.630;0;9.185;2;1
7896067720721;AROMATIZANTE GEL MONZA TUTTI-FRUTI;UNIDADES;1;10;0;11.630;0;9.200;2;1
7896067720967;GEL PEROLA TALCO;UNIDADES;1;10;0;6.000;0;0;2;1
7896067720974;AROMATIZANTE GEL PEROLA SILVESTRE;UNIDADES;1;10;0;11.630;0;9.200;2;1
7896067720981;AROMATIZANTE GEL PEROLA CARRO NOVO;UNIDADES;1;10;0;11.630;0;9.200;2;1
7896071001113;GALLETITA MABEL 200GR;UNIDADES;26;10;0;4.150;0;3.290;2;1
7896071001854;GALLETITA MABEL CHOCOLATE 140G;UNIDADES;1;10;0;2.800;0;2.190;2;1
7896071001915;GALLETITA RELLENA MABEL FRUT 140G;UNIDADES;1;10;0;2.800;0;2.190;2;1
7896071002202;GALLETITA RELLENA MABEL DULCE DE LECHE 1;UNIDADES;1;10;0;2.800;0;2.240;2;1
7896071002677;ELBIS;UNIDADES;1;10;0;1.350;0;1.083;2;1
7896071002684;ELBIS PIZZA;UNIDADES;1;10;0;1.330;0;1.064;2;1
7896071003018;GALLETITAS MABEL AL AGUA 200G;UNIDADES;26;10;0;4.320;0;3.429;2;1
7896071003055;GALLETITA MABEL AGUA Y SAL 200G;UNIDADES;1;10;0;3.700;0;2.900;2;1
7896071003056;GALLETITAS MABEL AGUA Y SAL 200;UNIDADES;26;10;0;4.520;0;3.600;2;1
7896071007009;WAFER MABEL;UNIDADES;1;10;0;1.003;0;760;2;1
7896071007015;MABEL MINI WAFER;UNIDADES;1;10;0;850;0;648;2;1
7896071007016;MABEL WAFEE;UNIDADES;1;10;0;1.003;0;760;2;1
7896071007085;GALLETITAS ELBIS SALADA 85GR;UNIDADES;1;10;0;1.350;0;1.083;2;1
7896071021081;GALLETITAS MABEL CHOCOLATE 140G;UNIDADES;1;10;0;3.050;0;2.440;2;1
7896071021098;GALLETITAS MABEL 140;UNIDADES;1;10;0;3.050;0;2.440;2;1
7896071021104;GALLETITAS MABEL DULCE DE LEHCE140G;UNIDADES;1;10;0;2.950;0;2.240;2;1
7896071021128;GALLETITAS MABEL 140G;UNIDADES;1;10;0;2.950;0;2.240;2;1
7896071021258;GALLETITAS MABEL 64G;UNIDADES;1;10;0;1.150;0;793;2;1
7896071021265;GALLETITAS MABEL CHOCOLATE;UNIDADES;1;10;0;1.150;0;793;2;1
