id;categoria_id;nombre;precio;tipo_id
326;1139;Nuggets de Pollo Sadia Crocante 300gr;19500;1
327;1139;Pollo Pechugon Pechu Nuggets bolsa de 800gr;24900;1
328;1139;Pollo Pechugon Pechu Nuggets 300gr;9900;1
329;1140;Hamburguesa de Pollo Guaraní 12 unidades;27900;1
330;1141;Chorizo de Viena Franz;22900;1
331;1141;Chorizo Parrillero Picante Ochsi a granel;27900;1
332;1141;Chorizo de Viena Ochsi a granel;27000;1
333;1142;Pancho Ochsi Por Kg;27800;2
334;1142;Pancho Franz;21500;2
335;1142;Super Pancho Ochsi por kilo;27100;2
336;1143;Morcilla Ochsi a granel;24250;2
337;1144;Butifarra Ochsi a granel;40250;2
338;1144;Butifarra Mutti a granel;25900;2
339;1145;Mini Pate Ochsi;4200;1
340;1146;Besito Oschi a granel;30500;2
341;1147;Hamburguesa de Carne Efege 16 unidades;25900;1
342;1147;Hamburguesa de Carne Efege caja 60 unidades;90000;1
343;1147;Guarani Hamburguesa Parrillera XXL 4unid;36500;1
344;1148;Guarani Hamburguesa Light 6unid;21300;1
345;1148;Guarani Hamburguesa Light 12unid;45000;1
346;1150;Jamon Cocido Sadia Por Kg;29900;2
347;1150;Jamón Cocido Ochsi Por Kg en Fetas;49200;2
348;1150;Jamón Cocido Franz;37900;2
349;1151;Jamón Crudo Ochsi paquete 250 gr;15500;1
350;1152;Panceta Upisa;30800;1
351;1152;Panceta Ochsi en paquete 200 - 250 gr;14900;1
352;1154;Fiambre Ochsi Por Kilo;26900;2
353;1157;Jamonada Ochsi a granel;32500;2
354;1157;Jamonada Guarani;30000;2
355;1158;Filet de Tilapia Ocho Fuentes 500gr paquete;46600;1
356;1158;Filet de Tilapia Mennopez Congelado 500gr;45950;1
357;1159;Filet de Salmón Congelado al vacío;166700;1
358;1160;Preparado de Mariscos Congelado Brasmar 450gr;72500;1
359;1161;Lomo de Cerdo por Kg;28500;2
360;1161;Paleta de Cerdo;18200;2
361;1162;Jamón de Pavo Sadia paquete de 200gr;20200;1
362;1162;Jamón de Pavo Ahumado Light paquete 150gr;19300;1
363;1162;Jamón de Pavo Ahumado Light paquete 150gr;48950;1
364;1163;Leche Entera Los Colonos 1 Litro Tetrapak;5350;1
365;1163;Leche Coop Entera UAT 1 lt Tetrapak;5300;1
366;1163;Leche Entera Trebol 1lt Tetrapak;5400;1
367;1164;Leche Descremada Doña Angela Sachet 1 Litro;4150;1
368;1164;Leche Descremada Trebol 1lt Tetrapak;5500;1
369;1164;Leche Descremada Lactolanda Vital Light 1lt tetrapak;4950;1
370;1165;Leche Descremada en Polvo iLolay caja 30 unidades;20400;1
371;1165;Leche En Polvo Nido FortiGrow Lata 800gr;42500;1
372;1165;Leche en Polvo Nido Crecimiento 1+ 760gr;48400;1
373;1167;Yogurt Coop Entero Bebible Coco 200ml;1900;1
374;1167;Yogurt Lactolanda Vainilla botella 900gr;8900;1
375;1167;Yogurt Lactolanda Vainilla 350gr;3550;1
376;1168;Yogurt Coop Dueto Con Zucaritas 150gr;3500;1
377;1168;Yogurt Coop Dueto Con Froot Loops 150gr;3300;1
378;1168;Yogurt Coop Vida Descremado Muesli 150gr;3190;1
379;1169;Yogurt Lactolanda Vainilla sachet 1lt;6600;1
380;1169;Yogurt Trebol Sachet Vainilla 500ml;3300;1
381;1169;Yogurt Trebol Sachet Frutilla 1lt;6600;1
382;1170;Yogurt Coop Dietetico Vida Vainilla 350gr;3490;1
383;1170;Yogurt Lactolanda Vital Light Vainilla 900gr;9100;1
384;1170;Yogurt Lactolanda Vital Light Vainilla 350gr;3350;1
385;1172;Queso Untable La Serenisima Finlandia Light 300gr;19400;1
386;1172;Queso Untable Polenghi Tradicional 150gr;14500;1
387;1172;Queso Untable Polenghi tradicional 200gr;12000;1
388;1173;Queso Sandwich Polenghi Cheddar paquete de 144gr;14450;1
389;1173;Queso Muzzarella Ilolay;49200;1
390;1173;Queso Muzzarella Sancor;48500;1
391;1174;Queso Rallado Sancor 100gr;14900;1
392;1174;Queso Rallado Sancor 40gr;5800;1
393;1174;Queso Rallado Ilolay 100gr;19000;1
394;1175;Queso Cuartirolo Coop por kg;51700;1
395;1175;Queso Cuartirolo La Padrera por kilo;42900;2
